covid_name,covid_uf,ibge_name,ibge_uf,notes
AMPARO DE SAO FRANCISCO,SE,AMPARO DO SAO FRANCISCO,SE,Preposição diferente DE vs DO
GRACCHO CARDOSO,SE,GRACHO CARDOSO,SE,Grafia diferente GRACCHO vs GRACHO
